Flight_ID,From,To,Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,Class
1,Islamabad,Dubai,1715576937,2024-05-13T05:08:57Z,UAE613,"31.581503,69.619095",36000,467,211,civil
1,Islamabad,Dubai,1715576971,2024-05-13T05:09:31Z,UAE613,"31.518564,69.574661",36000,468,211,civil
1,Islamabad,Dubai,1715577002,2024-05-13T05:10:02Z,UAE613,"31.461027,69.534012",36000,468,211,civil
1,Islamabad,Dubai,1715577036,2024-05-13T05:10:36Z,UAE613,"31.398331,69.489708",36000,470,211,civil
1,Islamabad,Dubai,1715577066,2024-05-13T05:11:06Z,UAE613,"31.345367,69.443176",36000,465,221,civil
1,Islamabad,Dubai,1715577097,2024-05-13T05:11:37Z,UAE613,"31.299728,69.387871",36000,463,227,civil
1,Islamabad,Dubai,1715577131,2024-05-13T05:12:11Z,UAE613,"31.250704,69.325653",36000,465,227,civil
1,Islamabad,Dubai,1715577161,2024-05-13T05:12:41Z,UAE613,"31.206299,69.269066",36000,466,227,civil
1,Islamabad,Dubai,1715577195,2024-05-13T05:13:15Z,UAE613,"31.157413,69.207054",36000,466,227,civil
1,Islamabad,Dubai,1715577226,2024-05-13T05:13:46Z,UAE613,"31.112457,69.150101",36000,467,227,civil
1,Islamabad,Dubai,1715577259,2024-05-13T05:14:19Z,UAE613,"31.063238,69.087906",36000,468,227,civil
1,Islamabad,Dubai,1715577293,2024-05-13T05:14:53Z,UAE613,"31.013947,69.025642",36000,467,227,civil
1,Islamabad,Dubai,1715577326,2024-05-13T05:15:26Z,UAE613,"30.965059,68.963875",36000,468,227,civil
1,Islamabad,Dubai,1715577358,2024-05-13T05:15:58Z,UAE613,"30.920135,68.907295",36000,468,227,civil
1,Islamabad,Dubai,1715577388,2024-05-13T05:16:28Z,UAE613,"30.874283,68.849617",36000,467,227,civil
1,Islamabad,Dubai,1715577419,2024-05-13T05:16:59Z,UAE613,"30.8288,68.792435",36000,467,227,civil
1,Islamabad,Dubai,1715577453,2024-05-13T05:17:33Z,UAE613,"30.779663,68.730789",36000,468,227,civil
1,Islamabad,Dubai,1715577483,2024-05-13T05:18:03Z,UAE613,"30.735214,68.67511",36000,468,227,civil
1,Islamabad,Dubai,1715577514,2024-05-13T05:18:34Z,UAE613,"30.688889,68.617157",36000,468,227,civil
1,Islamabad,Dubai,1715577547,2024-05-13T05:19:07Z,UAE613,"30.640137,68.556358",36000,468,227,civil
1,Islamabad,Dubai,1715577580,2024-05-13T05:19:40Z,UAE613,"30.591614,68.49604",36000,470,227,civil
1,Islamabad,Dubai,1715577611,2024-05-13T05:20:11Z,UAE613,"30.545563,68.438629",36000,470,227,civil
1,Islamabad,Dubai,1715577642,2024-05-13T05:20:42Z,UAE613,"30.499924,68.38192",36000,470,227,civil
1,Islamabad,Dubai,1715577673,2024-05-13T05:21:13Z,UAE613,"30.453873,68.324783",36000,470,227,civil
1,Islamabad,Dubai,1715577707,2024-05-13T05:21:47Z,UAE613,"30.403034,68.261848",36000,470,227,civil
1,Islamabad,Dubai,1715577738,2024-05-13T05:22:18Z,UAE613,"30.35733,68.20533",36000,470,227,civil
1,Islamabad,Dubai,1715577768,2024-05-13T05:22:48Z,UAE613,"30.31221,68.14962",36000,470,227,civil
1,Islamabad,Dubai,1715577802,2024-05-13T05:23:22Z,UAE613,"30.26207,68.087715",36000,470,227,civil
1,Islamabad,Dubai,1715577833,2024-05-13T05:23:53Z,UAE613,"30.216751,68.031868",36000,469,226,civil
1,Islamabad,Dubai,1715577864,2024-05-13T05:24:24Z,UAE613,"30.170877,67.975487",36000,468,226,civil
1,Islamabad,Dubai,1715577894,2024-05-13T05:24:54Z,UAE613,"30.125582,67.919952",36000,468,226,civil
1,Islamabad,Dubai,1715577928,2024-05-13T05:25:28Z,UAE613,"30.075439,67.858398",36000,468,226,civil
1,Islamabad,Dubai,1715577959,2024-05-13T05:25:59Z,UAE613,"30.030336,67.802399",36000,469,227,civil
1,Islamabad,Dubai,1715577989,2024-05-13T05:26:29Z,UAE613,"29.984856,67.745987",36000,469,227,civil
1,Islamabad,Dubai,1715578020,2024-05-13T05:27:00Z,UAE613,"29.938723,67.689072",36000,469,227,civil
1,Islamabad,Dubai,1715578051,2024-05-13T05:27:31Z,UAE613,"29.893341,67.633049",36000,469,227,civil
1,Islamabad,Dubai,1715578083,2024-05-13T05:28:03Z,UAE613,"29.845524,67.574158",36000,470,227,civil
1,Islamabad,Dubai,1715578116,2024-05-13T05:28:36Z,UAE613,"29.796318,67.513733",36000,470,227,civil
1,Islamabad,Dubai,1715578147,2024-05-13T05:29:07Z,UAE613,"29.75354,67.454948",36000,466,235,civil
1,Islamabad,Dubai,1715578154,2024-05-13T05:29:14Z,UAE613,"29.745575,67.440582",36000,464,238,civil
1,Islamabad,Dubai,1715578157,2024-05-13T05:29:17Z,UAE613,"29.743332,67.436249",36000,464,239,civil
1,Islamabad,Dubai,1715578162,2024-05-13T05:29:22Z,UAE613,"29.737476,67.424225",36000,462,241,civil
1,Islamabad,Dubai,1715578164,2024-05-13T05:29:24Z,UAE613,"29.734909,67.418503",36000,462,242,civil
1,Islamabad,Dubai,1715578168,2024-05-13T05:29:28Z,UAE613,"29.731705,67.411087",36000,461,243,civil
1,Islamabad,Dubai,1715578171,2024-05-13T05:29:31Z,UAE613,"29.72905,67.404518",36000,460,244,civil
